 INFO [main] 2017-02-08 16:16:39,780 org.springframework.context.support.FileSystemXmlApplicationContext (line 510) Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@66af5e3c: startup date [Wed Feb 08 16:16:39 CST 2017]; root of context hierarchy
 INFO [main] 2017-02-08 16:16:39,841 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\ldap\ldap-config.xml]
 INFO [main] 2017-02-08 16:16:40,163 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\spring\applicationContext.xml]
 INFO [main] 2017-02-08 16:16:40,234 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from class path resource [ldap/ldap-config.xml]
 INFO [main] 2017-02-08 16:16:40,281 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'contextSource': replacing [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:16:40,282 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'ldapTemplate': replacing [Root bean: class [org.springframework.ldap.core.LdapTemplate]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.core.LdapTemplate]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:16:40,318 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'groupRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:16:40,328 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'userRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 WARN [main] 2017-02-08 16:16:40,667 org.springframework.ldap.odm.core.impl.ObjectMetaData (line 118) The Entry class User should be declared final
 INFO [main] 2017-02-08 16:18:52,775 org.springframework.context.support.FileSystemXmlApplicationContext (line 510) Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@a58d300: startup date [Wed Feb 08 16:18:52 CST 2017]; root of context hierarchy
 INFO [main] 2017-02-08 16:18:52,838 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\ldap\ldap-config.xml]
 INFO [main] 2017-02-08 16:18:53,185 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\spring\applicationContext.xml]
 INFO [main] 2017-02-08 16:18:53,255 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from class path resource [ldap/ldap-config.xml]
 INFO [main] 2017-02-08 16:18:53,302 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'contextSource': replacing [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:18:53,320 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'ldapTemplate': replacing [Root bean: class [org.springframework.ldap.core.LdapTemplate]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.core.LdapTemplate]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:18:53,350 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'groupRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
